"track_name","artist_id","duration","release_date","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","genre__TIKTOK","genre_TIKTOK DANCE","genre_TIKTOK OPM","genre_TIKTOK PHILIPPINES"
"Promise (feat. Fetty Wap)","6KZDXtSj0SzGOV705nNeh3",224240,"2015-12-25",0.66,0.797,0.469,8,0.671410691936349,1,0.0646,0.0604340409257616,0,0.0753,0.481,0.302469135802469,0,1,0,0
"Please Don't Go","2KsP6tYLJlTBvSUxnwlVWa",196813,"2010-08-09",0.8,0.699,0.882,4,0.822170570355802,0,0.0311,0.00297631811436953,0.0544,0.13,0.657,0.407407407407407,0,1,0,0
"Rebel","67YZ3dlerNxiIKCtrTMFLj",135882,"2020-09-11",0.43,0.815,0.76,7,0.784301805828714,0,0.129,0.654890389857814,0,0.312,0.868,0.296296296296296,0,1,0,0
"Weak","1tM4ox3QsSpl3R2VwLjJ47",159375,"2021-01-22",0.77,0.617,0.451,7,0.628106561773646,1,0.0584,0.632690356456854,0,0.267,0.487,0.45679012345679,0,1,0,0
"OUT WEST (feat. Young Thug)","7A8S43ryYdbWpJKeHRZRcq",157712,"2019-12-27",0.83,0.802,0.591,8,0.786447344895405,1,0.225,0.010483965773603,0,0.196,0.309,0.530864197530864,0,1,0,0
"Unlock it (Lock It) - feat. Kim Petras and Jay Park","25uiPmTg16RbhZWAqwLBy5",232933,"2017-12-15",0.76,0.504,0.711,9,0.751796888968353,1,0.0452,0.0590213115275187,1.83e-05,0.382,0.5,0.5,0,1,0,0
"Don't Rush (feat. DaBaby)","6M6XXCcO5gI68XpIlrUL3Z",201960,"2020-06-12",0.74,0.959,0.508,2,0.680529232969784,1,0.257,0.145298714063065,9.82e-05,0.136,0.346,0.333333333333333,0,1,0,0
"JOTARO! - TheRedW Mix","3bV5PFRfgmYqsOZv9pb2z6",145000,"2021-03-18",0.57,0.611,0.603,2,0.60679420704452,1,0.046,0.143280529208433,0,0.253,0.36,0.672839506172839,0,1,0,0
"It Won't Stop (feat. Chris Brown) - EP Version","6If57j6e3TXXk0HiLcIZca",281080,"2013-12-03",0.71,0.657,0.574,1,0.622349365278026,0,0.0407,0.0161348833665745,8.1e-05,0.172,0.211,0.407407407407407,0,1,0,0
"Frikitona","5rM8dB5rqWAN4WhQpOHcEy",183182,"2011-07-12",0.61,0.947,0.874,2,0.825138566064724,0,0.176,0.318862611561475,0,0.372,0.835,0.407407407407407,0,1,0,0
